method,dataset,outcome,zone,n,mean,std,p_upper_clip,p_brake_0_1,sample_brake_fraction,v_after,delta_v,deterministic_upper_clip_fraction,deterministic_brake_fraction
instant-seed3,validation_D,success,static_near,238,1.9788654987551586,1.0339094400405884,0.8236659551371742,0.1604388719006724,0.16261817226890757,3.0,0.0,1.0,0.0
instant-seed3,validation_D,failure,steady,904,1.8061761717616984,1.0339094400405884,0.777774390008317,0.20382063482863177,0.20281388274336284,3.0,0.0,1.0,0.0
instant-seed3,validation_D,failure,high_risk,334,1.849499771694937,1.0339094400405884,0.7875643427792172,0.19468268060863533,0.19568675149700598,3.0,0.0,1.0,0.0
instant-seed3,validation_D,failure,static_near,63,1.80597590454041,1.0339094400405884,0.7731202418778191,0.2085497669843483,0.20684523809523808,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,all,steady,7133,1.9836585671273652,1.0339094400405884,0.8243271374383833,0.15984486802759001,0.1594832118323286,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,all,high_risk,490,1.8784223145368149,1.0339094400405884,0.7959726037177713,0.18668574291429038,0.18702168367346939,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,all,static_near,182,1.9445688076071688,1.0339094400405884,0.8145963532136786,0.16901066813102625,0.1722184065934066,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,success,steady,6581,2.0037266244607173,1.0339094400405884,0.8295833368513164,0.15488037299640556,0.15434346983741074,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,success,high_risk,286,1.9306292538042669,1.0339094400405884,0.8083485841159673,0.17508754047639588,0.17695585664335664,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,success,static_near,167,1.9619615077972412,1.0339094400405884,0.8196713599196759,0.1641770957084771,0.1660741017964072,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,failure,steady,552,1.7444051517092662,1.0339094400405884,0.7616621947997725,0.2190320814337945,0.22075973731884058,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,failure,high_risk,204,1.8052302330147987,1.0339094400405884,0.7786219645320653,0.2029459679007503,0.20113357843137256,3.0,0.0,1.0,0.0
instant-seed3,common_encounters,failure,static_near,15,1.7509300788243611,1.0339094400405884,0.758094611886906,0.22282444110207342,0.240625,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,all,steady,6139,2.8086032152059395,1.054152011871338,0.9505975342063936,0.04348657606643899,0.0432964448607265,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,all,high_risk,519,2.877936582344805,1.054152011871338,0.9564945788643624,0.038202265786650653,0.03675939306358381,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,all,static_near,238,2.7522001216391554,1.054152011871338,0.9471040358706461,0.04658510578214136,0.04398634453781513,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,success,steady,5638,2.807301183675527,1.054152011871338,0.9502623563312698,0.043794611481527454,0.043812633025895706,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,success,high_risk,267,2.970484063866433,1.054152011871338,0.962678316476137,0.03270916995370734,0.03195224719101124,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,success,static_near,171,2.7693520875004998,1.054152011871338,0.9483745426106927,0.045452345719132745,0.04349415204678363,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,failure,steady,501,2.823255617937404,1.054152011871338,0.9543694560825383,0.04002010167468488,0.0374875249500998,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,failure,high_risk,252,2.779880322161175,1.054152011871338,0.9499427616328391,0.04402233160965011,0.04185267857142857,3.0,0.0,1.0,0.0
predictive-seed1,validation_D,failure,static_near,67,2.708424208769158,1.054152011871338,0.9438613992654532,0.04947617997280511,0.045242537313432835,3.0,0.0,1.0,0.0
