scenario_id,scenario_type,variant,success,termination_reason,collision_type,episode_reward,steps,path_length,path_efficiency,mean_signed_route_offset,route_side,initial_linear_action,initial_angular_action,min_dynamic_center_distance,min_dynamic_clearance,risk_level,first_turn_time,first_slowdown_time,intervention_geometry_issue,matched_time_path_rms_difference,matched_time_action_rms_difference
8,crossing_right,reverse_dynamic,True,success,none,952.1007607022513,132,76.5,0.9898872182339549,0.05052187482673479,center,1.0,-0.19822745025157928,28.904747682592916,24.904747682592916,receding,0.0,,none,1.569629849567597,0.01465360727161169
8,crossing_right,slow_dynamic,True,success,none,954.7342754296726,132,76.50000000000013,0.9898872182339532,-1.1815793525876952,below,1.0,-0.22659319639205933,29.917545422807923,25.917545422807923,receding,0.0,,none,0.4185149746991326,0.004652966745197773
9,overtaking,baseline,True,success,none,972.6404973564756,140,81.3000000000001,0.95907886874845,-8.121228692168208,below,1.0,-0.675927996635437,7.861272287157568,3.8612722871575684,conflict,0.0,,none,0.0,0.0
9,overtaking,freeze_dynamic,False,dynamic_collision,dynamic_collision,-18.955713463119864,30,15.300000000000013,,-5.585219279866825,below,1.0,-0.6770217418670654,3.8765206138437054,-0.12347938615629461,conflict,0.0,,none,0.0035948217898441877,0.0039541334845125675
9,overtaking,mirror_y,True,success,none,978.1203942523956,140,81.30000000000001,0.959078868748451,-6.354220055988977,below,1.0,-0.5150892734527588,11.020670625391459,7.020670625391459,conflict,0.0,,none,12.748131349231386,0.14541350305080414
9,overtaking,reverse_dynamic,False,dynamic_collision,dynamic_collision,-64.15376147577797,21,9.899999999999999,,-1.3506320613743648,below,1.0,-0.6776926517486572,3.8093661844192863,-0.19063381558071368,conflict,0.0,,none,0.005461004348767217,0.002357071964070201
9,overtaking,slow_dynamic,True,success,none,961.2861911199951,139,80.7,0.9662095666573616,-7.092665761012223,below,1.0,-0.6765545010566711,5.223171965312026,1.2231719653120257,conflict,0.0,,none,1.0738995624346503,0.011407401412725449
10,overtaking,baseline,True,success,none,965.4092975009322,139,80.69999999999993,0.9555119866029564,-8.548685998492997,below,1.0,-0.551369309425354,9.594440490563404,5.594440490563404,time_separated,0.0,,none,0.0,0.0
10,overtaking,freeze_dynamic,True,success,none,969.9309639037181,138,80.1,0.9626693797610303,-7.014428940702387,below,1.0,-0.551683247089386,15.164594978191142,11.164594978191142,time_separated,0.0,,none,1.4915293829861198,0.01062946580350399
10,overtaking,mirror_y,True,success,none,964.3693003608196,135,78.29999999999998,0.9847997103302495,-4.775795259692413,below,1.0,-0.41133713722229004,26.006137529232642,22.006137529232642,time_separated,0.0,,none,11.65223523847645,0.11457322537899017
10,overtaking,reverse_dynamic,True,success,none,968.5871433474348,137,79.5,0.9699348090422455,-6.239006780692825,below,1.0,-0.5519248247146606,18.246844276233823,14.246844276233823,time_separated,0.0,,none,2.2056462126889143,0.014504740945994854
10,overtaking,slow_dynamic,True,success,none,966.052170797698,138,80.09999999999994,0.962669379761031,-7.619524517289408,below,1.0,-0.5515621900558472,12.78711031363713,8.78711031363713,time_separated,0.0,,none,0.9158611508579406,0.0070031811483204365
11,overtaking,baseline,True,success,none,926.5883161913689,128,74.09999999999997,0.9836262756992077,-1.6968733549163042,below,1.0,-0.1982058435678482,26.970240849630553,22.970240849630553,receding,0.0,,none,0.0,0.0
11,overtaking,freeze_dynamic,True,success,none,926.7886271017545,128,74.09999999999997,0.9836262756992077,-1.5118171422024191,below,1.0,-0.20554329454898834,27.15355167652402,23.15355167652402,receding,0.0,,none,0.1665473575446502,0.0019100288627669215
11,overtaking,mirror_y,True,success,none,925.2705331040912,128,74.09999999999998,0.9836262756992075,-3.9949731429345414,below,1.0,-0.421170175075531,27.153551676524014,23.153551676524014,receding,0.0,,none,5.192387265407581,0.07618025690317154
11,overtaking,reverse_dynamic,True,success,none,927.084876892245,128,74.1,0.9836262756992072,-1.446132440715997,below,1.0,-0.21302548050880432,27.144860838132388,23.144860838132388,receding,0.0,,none,0.22639256699341453,0.0033044840674847364
11,overtaking,slow_dynamic,True,success,none,926.6654386526366,128,74.10000000000001,0.9836262756992071,-1.5859057787853337,below,1.0,-0.20185424387454987,27.119685270251775,23.119685270251775,receding,0.0,,none,0.10021349874895148,0.0010503223165869713
