split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
challenge,base-seed2,crossing_left,30,10,0.3333333333333333,"[0.19230498083676134, 0.5121994835545616]",325.58958127330726,325.58958127330726,0.0,8.736721320059607,7.222365476960705,-0.4507015930870102,-0.359453074147734,0.9756645466213186,26.96,0.9923497267759562,0.9924335683236613,2.962715382205514,24,24,1.0,,6,0.2,14,0.4666666666666667,0,0.0,0,0.0,20,0.6666666666666666
challenge,base-seed2,crossing_right,30,20,0.6666666666666666,"[0.4878005164454384, 0.8076950191632386]",690.8054707558848,690.8054707558848,0.0,4.226383168040029,7.726667038305683,-0.5755536230749119,2.951793190481933,0.985237533130808,27.310000000000002,0.9914122809309293,0.9869869030149014,3.0,12,12,1.0,,10,0.3333333333333333,0,0.0,0,0.0,0,0.0,10,0.3333333333333333
challenge,base-seed2,head_on,30,15,0.5,"[0.33154125640533766, 0.6684587435946623]",689.7643466244481,689.7643466244481,0.0,2.1593539601296214,6.737768812795443,-0.4951948527081917,0.0755809143893158,0.9746690735013016,27.133333333333333,1.0,1.0,3.0,21,21,1.0,,15,0.5,0,0.0,0,0.0,0,0.0,15,0.5
challenge,base-seed2,overtaking,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",558.9364862982716,558.9364862982716,0.0,3.5490296108248165,13.300936677249307,-0.4688803596087911,-0.3243793120601639,0.960750632157801,27.941176470588236,0.9876343473472333,0.9859485815602836,2.9000605308818606,19,19,1.0,,12,0.4,1,0.03333333333333333,0,0.0,0,0.0,13,0.43333333333333335
challenge,base-seed3,crossing_left,30,15,0.5,"[0.33154125640533766, 0.6684587435946623]",452.3530230866162,452.3530230866162,0.0,10.465185745979106,5.879955722981055,0.0183004181956381,-0.5442033981256507,0.9672477493821277,27.266666666666666,1.0,1.0,2.9054585100293995,17,17,1.0,,0,0.0,15,0.5,0,0.0,0,0.0,15,0.5
challenge,base-seed3,crossing_right,30,28,0.9333333333333333,"[0.7867654163738308, 0.9815229762087295]",921.2083085791775,921.2083085791775,0.0,4.861725709494981,7.72493419224015,-0.1292837433282692,3.49373991716851,0.9814896400583655,27.5,1.0,1.0,3.0,4,4,1.0,,2,0.06666666666666667,0,0.0,0,0.0,0,0.0,2,0.06666666666666667
challenge,base-seed3,head_on,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",723.8012049851085,723.8012049851085,0.0,2.449685416097529,6.271421278416669,-0.4923613524172943,0.2224437051686134,0.9724112643975621,27.235294117647058,1.0,1.0,3.0,21,21,1.0,,13,0.43333333333333335,0,0.0,0,0.0,0,0.0,13,0.43333333333333335
challenge,base-seed3,overtaking,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",566.0772611630252,566.0772611630252,0.0,3.493470054957003,12.650628891026964,-0.4447398139941017,-0.07606164327367,0.9622362124734803,27.799999999999997,1.0,1.0,2.9071645343912325,17,17,1.0,,12,0.4,1,0.03333333333333333,0,0.0,0,0.0,13,0.43333333333333335
challenge,instant-seed1,crossing_left,30,30,1.0,"[0.8864866068260312, 0.9999999999999999]",964.8535088187818,963.7666521761836,-1.0868566425984494,5.790823278432045,10.444138387470549,0.0207109006107035,2.831616494906407,0.9630148063888391,27.533333333333335,1.0,1.0,3.0,2,2,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
challenge,instant-seed1,crossing_right,30,8,0.26666666666666666,"[0.14182663319596317, 0.4444796169518888]",214.81319341929697,211.9353132407476,-2.877880178549361,13.992951301325935,3.6199919671997964,-0.0743510907894462,-0.5246762793840083,0.9644693820830861,27.575000000000003,1.0,1.0,2.869866463515845,22,22,1.0,,1,0.03333333333333333,21,0.7,0,0.0,0,0.0,22,0.7333333333333333
challenge,instant-seed1,head_on,30,21,0.7,"[0.5212421254128504, 0.8333525173175619]",806.985237046844,803.720198212189,-3.2650388346550634,3.4258008208936985,10.008982402055297,-0.3677341093279764,2.3692776058905265,0.9555888555356548,27.8952380952381,1.0,1.0,3.0,16,16,1.0,,9,0.3,0,0.0,0,0.0,0,0.0,9,0.3
challenge,instant-seed1,overtaking,30,21,0.7,"[0.5212421254128504, 0.8333525173175619]",683.2637631946872,679.3627426937364,-3.9010205009505596,4.1587954888134675,15.167160053052173,-0.5058702503957333,-0.1827872906580272,0.9584426924975705,28.05714285714286,1.0,1.0,2.9011991914335664,16,16,1.0,,8,0.26666666666666666,1,0.03333333333333333,0,0.0,0,0.0,9,0.3
challenge,instant-seed2,crossing_left,30,22,0.7333333333333333,"[0.555520383048111, 0.8581733668040368]",733.7737050045414,731.1232844230326,-2.65042058150864,4.909486888483461,10.18765373282707,-0.5562409048056214,3.12330047962237,0.9843766024737924,26.927272727272726,1.0,1.0,3.0,11,11,1.0,,8,0.26666666666666666,0,0.0,0,0.0,0,0.0,8,0.26666666666666666
challenge,instant-seed2,crossing_right,30,7,0.23333333333333334,"[0.11792388144489496, 0.40928326158122164]",195.96700539448787,192.155440389656,-3.8115650048318828,12.890433168736246,4.1177284235845,-0.2856058411535089,-0.5154119127600385,0.9825613210353522,27.17142857142857,1.0,1.0,2.894170329315937,24,24,1.0,,2,0.06666666666666667,21,0.7,0,0.0,0,0.0,23,0.7666666666666667
challenge,instant-seed2,head_on,30,22,0.7333333333333333,"[0.555520383048111, 0.8581733668040368]",820.6113005491873,817.680811356434,-2.930489192753166,3.1163485070740573,8.880536891206715,-0.4371893358129171,1.5399945624861795,0.9703846135737971,27.418181818181814,1.0,1.0,3.0,12,12,1.0,,8,0.26666666666666666,0,0.0,0,0.0,0,0.0,8,0.26666666666666666
challenge,instant-seed2,overtaking,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",585.886591836361,581.3193852560494,-4.567206580311737,3.043191768697621,17.379765718797906,-0.3267540415788836,1.4264525272701674,0.9637018218087932,27.870588235294118,1.0,1.0,2.9174531216705732,19,19,1.0,,13,0.43333333333333335,0,0.0,0,0.0,0,0.0,13,0.43333333333333335
challenge,instant-seed3,crossing_left,30,12,0.4,"[0.24590628116801852, 0.5767963974667752]",383.80136405453686,380.94967676728595,-2.851687287250985,10.655997316771062,5.753978550043213,-0.0748872609833801,-0.5928468981644084,0.9520090738329104,27.583333333333332,1.0,1.0,2.912887026001536,19,19,1.0,,3,0.1,15,0.5,0,0.0,0,0.0,18,0.6
